% Recoded by WEISmonths, Mon Nov 29 02:11:48 2004
% from http://www.ku.edu/~keds/data.html
*vertices 485
72 "CRB" [1-*]
73 "CRO" [1-*]
74 "CTH" [1-*]
75 "CUB" [1-*]
76 "CUBGOV" [1-*]
77 "CYP" [1-*]
78 "CYPGRC" [1-*]
79 "CYPT" [1-*]
80 "CZE" [1-*]
81 "CZR" [1-*]
82 "CZRGOV" [1-*]
83 "DAH" [1-*]
84 "DEM" [1-*]
85 "DEN" [1-*]
86 "DENGOV" [1-*]
87 "DJB" [1-*]
88 "DJI" [1-*]
89 "DJIGOV" [1-*]
90 "DOA" [1-*]
91 "DOM" [1-*]
92 "DRV" [1-*]
93 "ECU" [1-*]
94 "EEC" [1-*]
95 "EFT" [1-*]
96 "EGY" [1-*]
97 "EGYBUS" [1-*]
98 "EGYCR" [1-*]
99 "EGYGOV" [1-*]
100 "EGYIS" [1-*]
101 "EGYISL" [1-*]
102 "EGYMED" [1-*]
103 "EGYMIL" [1-*]
104 "EGYMOS" [1-*]
105 "EGYMOSORG" [1-*]
106 "EGYNGO" [1-*]
107 "EJC" [1-*]
108 "ELS" [1-*]
109 "ERT" [1-*]
110 "EST" [1-*]
111 "ETH" [1-*]
112 "ETI" [1-*]
113 "EUR" [1-*]
114 "EURCO" [1-*]
115 "EURE" [1-*]
116 "EURW" [1-*]
117 "EXIRN" [1-*]
118 "FGU" [1-*]
119 "FIJ" [1-*]
120 "FIN" [1-*]
121 "FINGOV" [1-*]
122 "FRA" [1-*]
123 "FRAGOV" [1-*]
124 "FRN" [1-*]
125 "FRNGOV" [1-*]
126 "FRNNGO" [1-*]
127 "FRY" [1-*]
128 "GAB" [1-*]
129 "GAM" [1-*]
130 "GBI" [1-*]
131 "GCC" [1-*]
132 "GEO" [1-*]
133 "GER" [1-*]
134 "GERGOV" [1-*]
135 "GHA" [1-*]
136 "GME" [1-*]
137 "GMW" [1-*]
138 "GOE" [1-*]
139 "GOS" [1-*]
140 "GOSS" [1-*]
141 "GRC" [1-*]
142 "GRCDOX" [1-*]
143 "GRCGOV" [1-*]
144 "GRE" [1-*]
145 "GUA" [1-*]
146 "GUI" [1-*]
147 "GUY" [1-*]
148 "HAI" [1-*]
149 "HOK" [1-*]
150 "HON" [1-*]
151 "HRW" [1-*]
152 "HUN" [1-*]
153 "IAE" [1-*]
154 "IBK" [1-*]
155 "ICE" [1-*]
156 "ICJ" [1-*]
157 "ICRC" [1-*]
158 "IDB" [1-*]
159 "IGO" [1-*]
160 "IMF" [1-*]
161 "IND" [1-*]
162 "INDGOV" [1-*]
163 "ING" [1-*]
164 "INS" [1-*]
165 "INSETI" [1-*]
166 "INSGOV" [1-*]
167 "INT" [1-*]
168 "INTCOM" [1-*]
169 "IRA" [1-*]
170 "IRE" [1-*]
171 "IRN" [1-*]
172 "IRNGOV" [1-*]
173 "IRNJEW" [1-*]
174 "IRNKD" [1-*]
175 "IRNKUR" [1-*]
176 "IRNMED" [1-*]
177 "IRNMOS" [1-*]
178 "IRNOP" [1-*]
179 "IRNOPP" [1-*]
180 "IRQ" [1-*]
181 "IRQBA" [1-*]
182 "IRQCR" [1-*]
183 "IRQGOV" [1-*]
184 "IRQKUR" [1-*]
185 "IRQMED" [1-*]
186 "ISL" [1-*]
187 "ISLMI" [1-*]
188 "ISLORG" [1-*]
189 "ISLSN" [1-*]
190 "ISR" [1-*]
191 "ISRARB" [1-*]
192 "ISRCOM" [1-*]
193 "ISRDZ" [1-*]
194 "ISRGOL" [1-*]
195 "ISRGOV" [1-*]
196 "ISRJW" [1-*]
197 "ISRLA" [1-*]
198 "ISRLAP" [1-*]
199 "ISRLFT" [1-*]
200 "ISRMED" [1-*]
201 "ISRMER" [1-*]
202 "ISRMIL" [1-*]
203 "ISROPP" [1-*]
204 "ISRPLC" [1-*]
205 "ISRREB" [1-*]
206 "ISRREL" [1-*]
207 "ISRSET" [1-*]
208 "ISRSHA" [1-*]
209 "ISRSLA" [1-*]
210 "ISRST" [1-*]
211 "ITA" [1-*]
212 "ITAGOV" [1-*]
213 "ITAMNC" [1-*]
214 "IVO" [1-*]
215 "JAM" [1-*]
216 "JAP" [1-*]
217 "JAPGOV" [1-*]
218 "JAPREB" [1-*]
219 "JEW" [1-*]
220 "JOR" [1-*]
221 "JORCR" [1-*]
222 "JORGOV" [1-*]
223 "JORIAF" [1-*]
224 "JORMED" [1-*]
225 "JORMIL" [1-*]
226 "JORMOS" [1-*]
227 "JORMOSORG" [1-*]
228 "JOROPP" [1-*]
229 "KEN" [1-*]
230 "KENGOV" [1-*]
231 "KRD" [1-*]
232 "KRDPKK" [1-*]
233 "KSV" [1-*]
234 "KUR" [1-*]
235 "KUW" [1-*]
236 "KUWGOV" [1-*]
237 "LAM" [1-*]
238 "LAO" [1-*]
239 "LAT" [1-*]
240 "LBR" [1-*]
241 "LBY" [1-*]
242 "LBYGOV" [1-*]
243 "LEB" [1-*]
244 "LEBAM" [1-*]
245 "LEBCOM" [1-*]
246 "LEBCR" [1-*]
247 "LEBDZ" [1-*]
248 "LEBGOV" [1-*]
249 "LEBHM" [1-*]
250 "LEBHZ" [1-*]
251 "LEBIJ" [1-*]
252 "LEBMED" [1-*]
253 "LEBMIL" [1-*]
254 "LEBMOS" [1-*]
255 "LEBPLC" [1-*]
256 "LEBREB" [1-*]
257 "LEBREF" [1-*]
258 "LEBSH" [1-*]
259 "LEBSH1" [1-*]
260 "LEBSH2" [1-*]
261 "LIC" [1-*]
262 "LIT" [1-*]
263 "LTH" [1-*]
264 "LUX" [1-*]
265 "MAC" [1-*]
266 "MAD" [1-*]
267 "MAG" [1-*]
268 "MAL" [1-*]
269 "MALGOV" [1-*]
270 "MALOPP" [1-*]
271 "MAU" [1-*]
272 "MAW" [1-*]
273 "MED" [1-*]
274 "MEX" [1-*]
275 "MLI" [1-*]
276 "MLT" [1-*]
277 "MOC" [1-*]
278 "MON" [1-*]
279 "MOR" [1-*]
280 "MORGOV" [1-*]
281 "MOS" [1-*]
282 "MOSEDUEGY" [1-*]
283 "MOSNAT" [1-*]
284 "MOSORG" [1-*]
285 "MOSPAL" [1-*]
286 "MOZ" [1-*]
287 "MTN" [1-*]
288 "NAT" [1-*]
289 "NAU" [1-*]
290 "NEP" [1-*]
291 "NEPMIL" [1-*]
292 "NEW" [1-*]
293 "NGO" [1-*]
294 "NGOENV" [1-*]
295 "NGOMED" [1-*]
296 "NIC" [1-*]
297 "NIG" [1-*]
298 "NIGGOV" [1-*]
299 "NIR" [1-*]
300 "NMB" [1-*]
301 "NMBGOV" [1-*]
302 "NOR" [1-*]
303 "NORGOV" [1-*]
304 "NTH" [1-*]
305 "OAP" [1-*]
306 "OAPEC" [1-*]
307 "OAS" [1-*]
308 "OAU" [1-*]
309 "OBL" [1-*]
310 "OIC" [1-*]
311 "OMA" [1-*]
312 "OMAGOV" [1-*]
313 "OPC" [1-*]
314 "OSCE" [1-*]
315 "PAK" [1-*]
316 "PAKGOV" [1-*]
317 "PAKMIL" [1-*]
318 "PAKOPP" [1-*]
319 "PAL" [1-*]
320 "PALAAM" [1-*]
321 "PALAN" [1-*]
322 "PALAU" [1-*]
323 "PALCHR" [1-*]
324 "PALCP" [1-*]
325 "PALDF" [1-*]
326 "PALFA" [1-*]
327 "PALGOV" [1-*]
328 "PALGU" [1-*]
329 "PALGZ" [1-*]
330 "PALHM" [1-*]
331 "PALIJ" [1-*]
332 "PALMED" [1-*]
333 "PALMIL" [1-*]
334 "PALNGO" [1-*]
335 "PALOPP" [1-*]
336 "PALPF" [1-*]
337 "PALPL" [1-*]
338 "PALPLC" [1-*]
339 "PALPLO" [1-*]
340 "PALPNA" [1-*]
341 "PALREF" [1-*]
342 "PALSR" [1-*]
343 "PALWB" [1-*]
344 "PAN" [1-*]
345 "PAP" [1-*]
346 "PAR" [1-*]
347 "PER" [1-*]
348 "PERGOV" [1-*]
349 "PHI" [1-*]
350 "PHIGOV" [1-*]
351 "PHIISL" [1-*]
352 "PHIOPP" [1-*]
353 "PHIREB" [1-*]
354 "PHL" [1-*]
355 "PLS" [1-*]
356 "POL" [1-*]
357 "POLGOV" [1-*]
358 "POLOPP" [1-*]
359 "POR" [1-*]
360 "PRK" [1-*]
361 "PVO" [1-*]
362 "QAT" [1-*]
363 "QATOPP" [1-*]
364 "RCR" [1-*]
365 "RFE" [1-*]
366 "RHO" [1-*]
367 "ROK" [1-*]
368 "ROM" [1-*]
369 "ROMGOV" [1-*]
370 "RUS" [1-*]
371 "RUSCHE" [1-*]
372 "RUSGOV" [1-*]
373 "RUSMIL" [1-*]
374 "RUSREL" [1-*]
375 "RWA" [1-*]
376 "SAF" [1-*]
377 "SAFGOV" [1-*]
378 "SAFOPP" [1-*]
379 "SAU" [1-*]
380 "SAUGOV" [1-*]
381 "SAUMED" [1-*]
382 "SCN" [1-*]
383 "SEN" [1-*]
384 "SER" [1-*]
385 "SEY" [1-*]
386 "SHM" [1-*]
387 "SIE" [1-*]
388 "SIN" [1-*]
389 "SIRREB" [1-*]
390 "SLK" [1-*]
391 "SLO" [1-*]
392 "SOCIL" [1-*]
393 "SOCLR" [1-*]
394 "SOM" [1-*]
395 "SOMGOV" [1-*]
396 "SPN" [1-*]
397 "SPNGOV" [1-*]
398 "SRI" [1-*]
399 "SRIMIL" [1-*]
400 "SRIREB" [1-*]
401 "SUD" [1-*]
402 "SUDGOV" [1-*]
403 "SUDOPP" [1-*]
404 "SUR" [1-*]
405 "SWD" [1-*]
406 "SWI" [1-*]
407 "SYR" [1-*]
408 "SYRGOV" [1-*]
409 "SYRJW" [1-*]
410 "SYRMB" [1-*]
411 "SYRMED" [1-*]
412 "SYRMIL" [1-*]
413 "SYROPP" [1-*]
414 "TAI" [1-*]
415 "TAJ" [1-*]
416 "TAM" [1-*]
417 "TAW" [1-*]
418 "TAZ" [1-*]
419 "TAZGOV" [1-*]
420 "TIBOPP" [1-*]
421 "TIC" [1-*]
422 "TKM" [1-*]
423 "TOG" [1-*]
424 "TRI" [1-*]
425 "TUN" [1-*]
426 "TUNGOV" [1-*]
427 "TUR" [1-*]
428 "TURGOV" [1-*]
429 "TURKUR" [1-*]
430 "TURMED" [1-*]
431 "UAE" [1-*]
432 "UAEBUS" [1-*]
433 "UGA" [1-*]
434 "UKR" [1-*]
435 "UN0" [1-*]
436 "UNK" [1-*]
437 "UNKGOV" [1-*]
438 "UNKMED" [1-*]
439 "UNKMIL" [1-*]
440 "UNKNGO" [1-*]
441 "UNO" [1-*]
442 "UNOHCR" [1-*]
443 "UNONGO" [1-*]
444 "UNOWHO" [1-*]
445 "UPP" [1-*]
446 "URU" [1-*]
447 "usa" [1-*]
448 "USA" [1-*]
449 "USABUS" [1-*]
450 "USAGOV" [1-*]
451 "USAJW" [1-*]
452 "USAMA" [1-*]
453 "USAMED" [1-*]
454 "USAMIL" [1-*]
455 "USAMNC" [1-*]
456 "USANGO" [1-*]
457 "USAPOL" [1-*]
458 "USAVOA" [1-*]
459 "USCORP" [1-*]
460 "USGOV" [1-*]
461 "USNGO" [1-*]
462 "USR" [1-*]
463 "USRJW" [1-*]
464 "USROP" [1-*]
465 "USROPP" [1-*]
466 "UZB" [1-*]
467 "VAN" [1-*]
468 "VAT" [1-*]
469 "VEN" [1-*]
470 "WAR" [1-*]
471 "WEST" [1-*]
472 "WEU" [1-*]
473 "WTO" [1-*]
474 "YAR" [1-*]
475 "YARGOV" [1-*]
476 "YAROPP" [1-*]
477 "YEMNO" [1-*]
478 "YPR" [1-*]
479 "YUG" [1-*]
480 "YUGSER" [1-*]
481 "ZAI" [1-*]
482 "ZAM" [1-*]
483 "ZAR" [1-*]
484 "ZIM" [1-*]
485 "ZIMGOV" [1-*]
*arcs :10 "YIELD"
*arcs :11 "SURRENDER"
*arcs :12 "*** RETREAT, ABANDONED"
*arcs :13 "RETRACT"
*arcs :14 "ACCOMODATE, CEASEFIRE"
*arcs :15 "CEDE POWER"
*arcs :20 "COMMENT"
*arcs :21 "DECLINE COMMENT"
*arcs :22 "PESSIMIST COMMENT"
*arcs :23 "NEUTRAL COMMENT"
*arcs :24 "OPTIMIST COMMENT"
*arcs :25 "EXPLAIN POSITION"
*arcs :30 "CONSULT"
*arcs :31 "MEET"
*arcs :32 "VISIT"
*arcs :33 "RECEIVE"
*arcs :34 "VOTE, ELECT"
*arcs :40 "APPROVE"
*arcs :41 "PRAISE"
*arcs :42 "ENDORSE"
*arcs :43 "RALLY"
*arcs :50 "PROMISE"
*arcs :51 "PROM POLICY SUPPORT"
*arcs :52 "PROM MATERIAL SUPPORT"
*arcs :53 "PROM OTHER SUPPORT"
*arcs :54 "ASSURE"
*arcs :55 "PROMISE RIGHTS"
*arcs :60 "GRANT"
*arcs :61 "APOLOGIZE"
*arcs :62 "STATE INVITATION"
*arcs :63 "GRANT ASYLUM"
*arcs :64 "GRANT PRIVILEGE"
*arcs :65 "TRUCE"
*arcs :66 "RELEASE"
*arcs :67 "GRANT POSITION"
*arcs :70 "REWARD"
*arcs :71 "EXTEND ECON AID"
*arcs :72 "EXTEND MIL AID"
*arcs :73 "GIVE OTHER ASSIST"
*arcs :80 "AGREE"
*arcs :81 "MAKE AGREEMENT"
*arcs :82 "AGREE FUTURE ACT"
*arcs :83 "ALLY"
*arcs :84 "MERGE, INTEGRATE"
*arcs :90 "REQUEST"
*arcs :91 "ASK INFORMATION"
*arcs :92 "ASK POLICY AID"
*arcs :93 "ASK MATERIAL AID"
*arcs :94 "CALL FOR"
*arcs :95 "PLEAD"
*arcs :97 "REQUEST RIGHTS"
*arcs :100 "PROPOSE"
*arcs :101 "OFFER PROPOSAL"
*arcs :102 "URGE"
*arcs :110 "REJECT"
*arcs :111 "TURN DOWN"
*arcs :112 "REFUSE"
*arcs :114 "*** PLAN REFORM"
*arcs :120 "ACCUSE"
*arcs :121 "CRITICIZE"
*arcs :122 "DENIGRATE"
*arcs :123 "INVESTIGATE"
*arcs :130 "PROTEST"
*arcs :131 "MAKE COMPLAINT"
*arcs :132 "FORMAL PROTEST"
*arcs :133 "SYMBOLIC ACT"
*arcs :140 "DENY"
*arcs :141 "DENY ACCUSATION"
*arcs :142 "DENY ACTION"
*arcs :150 "DEMAND"
*arcs :151 "ISSUE COMMAND"
*arcs :152 "CLAIM RIGHTS"
*arcs :160 "WARN"
*arcs :161 "WARN POLICIES"
*arcs :162 "WARN OF PROBLEM"
*arcs :170 "THREATEN"
*arcs :171 "UNSPECIF THREAT"
*arcs :172 "NONMIL TRHEAT"
*arcs :173 "SPECIF THREAT"
*arcs :174 "ULTIMATUM"
*arcs :180 "DEMONSTRATE"
*arcs :181 "NONMIL DEMO"
*arcs :182 "MILITARY DEMO"
*arcs :190 "REDUCE RELATIONS"
*arcs :191 "CANCEL EVENT"
*arcs :192 "CUT ROUTINE ACT"
*arcs :193 "CUT AID"
*arcs :194 "HALT NEGOTIATION"
*arcs :195 "BREAK DIPL RELAT"
*arcs :196 "STRIKE"
*arcs :197 "CENSOR"
*arcs :198 "WITHDRAW FROM"
*arcs :199 "*** COMBAT, CONTROL"
*arcs :200 "EXPEL"
*arcs :201 "EXPEL PERSONNEL"
*arcs :202 "EXPEL GROUP"
*arcs :203 "BAN ORGANIZATION"
*arcs :204 "*** SACKED"
*arcs :210 "SEIZE"
*arcs :211 "SEIZE POSSESSION"
*arcs :212 "ARREST PERSON"
*arcs :213 "HIJACK KIDNAP"
*arcs :214 "*** SPY"
*arcs :215 "*** HAUL"
*arcs :220 "FORCE"
*arcs :221 "NONINJURY DESTR"
*arcs :222 "NONMIL DESTR"
*arcs :223 "MIL ENGAGEMENT"
*arcs :224 "RIOT"
*arcs :225 "ASSASSINATE TORTURE"
*arcs
223: 281 99 1 [4]
223: 17 190 1 [4]
194: 96 2 1 [4]
223: 337 190 1 [4]
223: 436 190 1 [4]
31: 190 96 1 [4]
31: 96 190 1 [4]
223: 202 319 1 [4]
223: 337 220 1 [4]
193: 96 2 1 [4]
31: 180 96 1 [4]
31: 96 180 1 [4]
223: 17 66 1 [4]
32: 220 27 1 [4]
32: 433 66 1 [4]
54: 195 207 1 [4]
160: 243 441 1 [4]
73: 17 96 1 [4]
102: 33 190 1 [4]
160: 220 319 1 [4]
223: 170 441 1 [4]
122: 339 190 1 [4]
212: 436 433 1 [4]
223: 319 190 1 [4]
223: 190 319 1 [4]
32: 448 152 1 [4]
33: 152 448 1 [4]
122: 328 37 1 [4]
122: 328 94 1 [4]
223: 319 190 1 [4]
31: 190 96 1 [4]
31: 96 190 1 [4]
223: 202 319 1 [4]
223: 190 243 1 [4]
141: 337 319 1 [4]
32: 448 99 1 [4]
33: 99 448 1 [4]
71: 448 96 1 [4]
73: 17 96 1 [4]
190: 17 190 1 [4]
191: 96 190 1 [4]
191: 190 96 1 [4]
32: 195 407 1 [4]
223: 202 319 1 [4]
212: 319 190 1 [4]
31: 96 190 1 [4]
31: 235 313 1 [4]
31: 313 235 1 [4]
31: 99 448 1 [4]
31: 448 99 1 [4]
121: 96 305 1 [4]
223: 190 337 1 [4]
190: 17 96 1 [4]
31: 96 190 1 [4]
31: 190 96 1 [4]
111: 302 190 1 [4]
31: 195 66 1 [4]
31: 66 195 1 [4]
80: 195 248 1 [4]
73: 448 433 1 [4]
190: 96 306 1 [4]
223: 253 441 1 [4]
90: 462 171 1 [4]
102: 63 448 1 [4]
23: 450 448 1 [4]
190: 13 96 1 [4]
30: 246 243 1 [4]
34: 96 190 1 [4]
23: 27 319 1 [4]
223: 204 190 1 [4]
220: 418 433 1 [4]
220: 433 418 1 [4]
182: 418 433 1 [4]
182: 246 243 1 [4]
73: 99 96 1 [4]
32: 448 190 1 [4]
34: 96 99 1 [4]
111: 190 407 1 [4]
191: 222 448 1 [4]
212: 190 219 1 [4]
66: 243 190 1 [4]
90: 190 448 1 [4]
33: 99 96 1 [4]
160: 195 190 1 [4]
22: 441 243 1 [4]
33: 99 96 1 [4]
31: 195 99 1 [4]
66: 463 190 1 [4]
203: 99 96 1 [4]
73: 248 246 1 [4]
23: 66 243 1 [4]
32: 367 360 1 [4]
33: 360 367 1 [4]
25: 195 243 1 [4]
71: 436 220 1 [4]
64: 246 441 1 [4]
22: 124 462 1 [4]
32: 195 96 1 [4]
33: 96 195 1 [4]
102: 319 17 1 [4]
141: 379 448 1 [4]
150: 360 190 1 [4]
31: 195 96 1 [4]
191: 195 96 1 [4]
225: 319 190 1 [4]
160: 171 448 1 [4]
160: 171 274 1 [4]
191: 195 96 1 [4]
122: 17 190 1 [4]
61: 99 195 1 [4]
211: 243 448 1 [4]
81: 96 190 1 [4]
81: 190 96 1 [4]
225: 319 190 1 [4]
220: 243 319 1 [4]
112: 137 448 1 [4]
43: 141 74 1 [4]
43: 370 74 1 [4]
223: 190 319 1 [4]
40: 195 207 1 [4]
223: 190 341 1 [4]
32: 441 436 1 [4]
33: 436 441 1 [4]
223: 190 319 1 [4]
173: 190 319 1 [4]
23: 99 17 1 [4]
223: 202 243 1 [4]
102: 22 96 1 [4]
198: 17 96 1 [4]
31: 468 441 1 [4]
73: 120 462 1 [4]
73: 462 120 1 [4]
25: 241 290 1 [4]
31: 468 190 1 [4]
31: 190 468 1 [4]
131: 402 180 1 [4]
122: 441 337 1 [4]
195: 96 379 1 [4]
195: 96 235 1 [4]
25: 319 243 1 [4]
195: 379 96 1 [4]
81: 379 190 1 [4]
81: 190 379 1 [4]
196: 96 17 1 [4]
81: 96 190 1 [4]
81: 190 96 1 [4]
32: 242 171 1 [4]
223: 190 319 1 [4]
12: 113 17 1 [4]
12: 17 113 1 [4]
223: 243 441 1 [4]
191: 195 96 1 [4]
80: 190 96 1 [4]
80: 96 190 1 [4]
195: 271 96 1 [4]
140: 441 190 1 [4]
100: 195 319 1 [4]
120: 96 407 1 [4]
121: 96 243 1 [4]
23: 96 17 1 [4]
71: 99 96 1 [4]
223: 202 243 1 [4]
151: 406 9 1 [4]
195: 180 401 1 [4]
67: 450 448 1 [4]
31: 448 319 1 [4]
33: 319 448 1 [4]
223: 243 190 1 [4]
32: 441 92 1 [4]
33: 92 441 1 [4]
195: 17 96 1 [4]
32: 190 96 1 [4]
33: 96 190 1 [4]
42: 190 96 1 [4]
31: 243 441 1 [4]
31: 441 243 1 [4]
31: 96 190 1 [4]
31: 190 96 1 [4]
61: 448 360 1 [4]
112: 171 281 1 [4]
23: 171 281 1 [4]
120: 319 96 1 [4]
80: 96 190 1 [4]
80: 190 96 1 [4]
223: 96 190 1 [4]
64: 57 190 1 [4]
73: 450 190 1 [4]
73: 450 96 1 [4]
40: 450 17 1 [4]
182: 31 171 1 [4]
94: 368 406 1 [4]
31: 216 450 1 [4]
32: 407 243 1 [4]
33: 243 407 1 [4]
23: 462 448 1 [4]
24: 190 96 1 [4]
31: 243 441 1 [4]
32: 407 243 1 [4]
33: 243 407 1 [4]
84: 33 379 1 [4]
84: 33 235 1 [4]
84: 33 362 1 [4]
84: 33 431 1 [4]
81: 33 190 1 [4]
81: 190 33 1 [4]
65: 243 190 1 [4]
31: 99 190 1 [4]
196: 190 96 1 [4]
195: 243 96 1 [4]
213: 337 117 1 [4]
64: 190 96 1 [4]
31: 99 96 1 [4]
31: 96 99 1 [4]
31: 448 190 1 [4]
31: 448 96 1 [4]
102: 448 17 1 [4]
42: 441 248 1 [4]
196: 436 170 1 [4]
221: 319 190 1 [4]
32: 190 96 1 [4]
33: 96 190 1 [4]
212: 202 319 1 [4]
23: 425 96 1 [4]
212: 190 463 1 [4]
23: 364 190 1 [4]
191: 17 96 1 [4]
81: 190 96 1 [4]
81: 96 190 1 [4]
223: 234 171 1 [4]
191: 99 96 1 [4]
122: 171 96 1 [4]
122: 171 190 1 [4]
122: 241 96 1 [4]
122: 241 190 1 [4]
102: 408 253 1 [4]
66: 464 462 1 [4]
94: 464 462 1 [4]
31: 367 190 1 [4]
31: 190 367 1 [4]
121: 99 17 1 [4]
195: 474 96 1 [4]
171: 337 171 1 [4]
212: 462 448 1 [4]
41: 195 450 1 [4]
41: 195 448 1 [4]
32: 462 448 1 [4]
66: 196 462 1 [4]
32: 141 211 1 [4]
33: 211 141 1 [4]
31: 170 99 1 [4]
31: 99 170 1 [4]
42: 99 96 1 [4]
42: 99 190 1 [4]
80: 96 190 1 [4]
20: 243 190 1 [4]
223: 319 190 1 [4]
66: 463 462 1 [4]
21: 202 319 1 [4]
32: 433 401 1 [4]
73: 433 401 1 [4]
121: 195 190 1 [4]
80: 96 202 1 [4]
66: 462 448 1 [4]
212: 137 17 1 [4]
32: 370 190 1 [4]
195: 96 171 1 [4]
73: 441 243 1 [4]
142: 27 337 1 [4]
111: 170 441 1 [4]
191: 171 96 1 [4]
102: 464 462 1 [4]
195: 171 96 1 [4]
24: 450 190 1 [4]
173: 450 462 1 [4]
32: 190 17 1 [5]
33: 17 190 1 [5]
30: 220 319 1 [5]
120: 171 96 1 [5]
54: 99 190 1 [5]
94: 246 441 1 [5]
131: 17 441 1 [5]
120: 337 190 1 [5]
50: 195 190 1 [5]
50: 195 96 1 [5]
25: 195 448 1 [5]
31: 99 96 1 [5]
31: 96 99 1 [5]
112: 195 407 1 [5]
223: 96 379 1 [5]
94: 190 243 1 [5]
121: 337 99 1 [5]
121: 99 96 1 [5]
130: 17 343 1 [5]
121: 190 195 1 [5]
191: 17 113 1 [5]
191: 17 94 1 [5]
197: 202 17 1 [5]
195: 96 88 1 [5]
111: 96 190 1 [5]
73: 450 427 1 [5]
195: 379 96 1 [5]
102: 96 17 1 [5]
25: 220 195 1 [5]
198: 195 17 1 [5]
172: 17 190 1 [5]
212: 441 243 1 [5]
198: 219 462 1 [5]
23: 96 448 1 [5]
170: 253 243 1 [5]
23: 379 17 1 [5]
23: 407 99 1 [5]
80: 441 243 1 [5]
223: 246 319 1 [5]
223: 319 246 1 [5]
22: 195 388 1 [5]
223: 202 319 1 [5]
31: 190 96 1 [5]
31: 96 190 1 [5]
25: 171 96 1 [5]
223: 319 246 1 [5]
102: 172 448 1 [5]
31: 96 190 1 [5]
31: 190 96 1 [5]
25: 190 195 1 [5]
23: 190 195 1 [5]
23: 241 276 1 [5]
172: 241 96 1 [5]
223: 202 319 1 [5]
102: 96 448 1 [5]
223: 319 243 1 [5]
62: 195 243 1 [5]
94: 195 407 1 [5]
94: 172 96 1 [5]
22: 448 243 1 [5]
111: 243 190 1 [5]
191: 96 17 1 [5]
82: 448 436 1 [5]
82: 448 190 1 [5]
82: 448 96 1 [5]
223: 202 319 1 [5]
111: 243 195 1 [5]
111: 190 195 1 [5]
31: 17 96 1 [5]
122: 17 96 1 [5]
223: 202 243 1 [5]
212: 433 190 1 [5]
196: 99 96 1 [5]
173: 202 190 1 [5]
94: 448 190 1 [5]
31: 448 436 1 [5]
31: 448 96 1 [5]
31: 448 190 1 [5]
81: 180 124 1 [5]
80: 141 468 1 [5]
222: 141 190 1 [5]
95: 243 180 1 [5]
67: 450 448 1 [5]
111: 448 379 1 [5]
94: 280 281 1 [5]
160: 448 444 1 [5]
223: 243 190 1 [5]
223: 243 190 1 [5]
223: 190 243 1 [5]
81: 408 190 1 [5]
81: 190 408 1 [5]
151: 37 94 1 [5]
102: 243 441 1 [5]
81: 280 190 1 [5]
212: 383 190 1 [5]
32: 195 124 1 [5]
31: 96 342 1 [5]
31: 342 96 1 [5]
102: 190 448 1 [5]
94: 243 441 1 [5]
121: 99 279 1 [5]
31: 441 243 1 [5]
32: 462 190 1 [5]
160: 234 172 1 [5]
12: 448 444 1 [5]
31: 27 450 1 [5]
31: 450 27 1 [5]
31: 27 462 1 [5]
31: 462 27 1 [5]
31: 441 243 1 [5]
140: 235 96 1 [5]
34: 448 441 1 [5]
102: 99 190 1 [5]
