% Recoded by WEISmonths, Sun Nov 28 21:57:00 2004
% from http://www.ku.edu/~keds/data.dir/balk.html
*vertices 325
72 "DOA" [1-*]
73 "DRV" [1-*]
74 "ECB" [1-*]
75 "ECU" [1-*]
76 "EEC" [1-*]
77 "EFTA" [1-*]
78 "EGY" [1-*]
79 "ELS" [1-*]
80 "ERT" [1-*]
81 "EST" [1-*]
82 "ETH" [1-*]
83 "ETHALB" [1-*]
84 "ETHSER" [1-*]
85 "ETI" [1-*]
86 "EU" [1-*]
87 "EUR" [1-*]
88 "EURCEN" [1-*]
89 "EURCO" [1-*]
90 "EUREAS" [1-*]
91 "FIJ" [1-*]
92 "FIN" [1-*]
93 "FORCR" [1-*]
94 "FRA" [1-*]
95 "FRN" [1-*]
96 "FRNGOV" [1-*]
97 "FRNGRP" [1-*]
98 "FRY" [1-*]
99 "FRYGOV" [1-*]
100 "FRYOPP" [1-*]
101 "GAB" [1-*]
102 "GAM" [1-*]
103 "GEO" [1-*]
104 "GEOGOV" [1-*]
105 "GER" [1-*]
106 "GERGOV" [1-*]
107 "GEROPP" [1-*]
108 "GHA" [1-*]
109 "GME" [1-*]
110 "GMW" [1-*]
111 "GOE" [1-*]
112 "GOS" [1-*]
113 "GOSS" [1-*]
114 "GRC" [1-*]
115 "GYP" [1-*]
116 "HAI" [1-*]
117 "HOK" [1-*]
118 "HON" [1-*]
119 "HUN" [1-*]
120 "IAE" [1-*]
121 "IBK" [1-*]
122 "ICC" [1-*]
123 "ICE" [1-*]
124 "ICJ" [1-*]
125 "IGO" [1-*]
126 "IHF" [1-*]
127 "IND" [1-*]
128 "ING" [1-*]
129 "INS" [1-*]
130 "INT" [1-*]
131 "INTMED" [1-*]
132 "IRA" [1-*]
133 "IRE" [1-*]
134 "IRN" [1-*]
135 "IRQ" [1-*]
136 "IRQGOV" [1-*]
137 "ISD" [1-*]
138 "ISLMI" [1-*]
139 "ISR" [1-*]
140 "ISRPAL" [1-*]
141 "ITA" [1-*]
142 "ITAGOV" [1-*]
143 "ITAMED" [1-*]
144 "IVO" [1-*]
145 "JAM" [1-*]
146 "JAP" [1-*]
147 "JAPREB" [1-*]
148 "JOR" [1-*]
149 "KAZ" [1-*]
150 "KEN" [1-*]
151 "KRD" [1-*]
152 "KRDPKK" [1-*]
153 "KSV" [1-*]
154 "KSVALB" [1-*]
155 "KSVALBMED" [1-*]
156 "KSVKLA" [1-*]
157 "KSVMED" [1-*]
158 "KSVMOS" [1-*]
159 "KSVSER" [1-*]
160 "KUR" [1-*]
161 "KUW" [1-*]
162 "LAM" [1-*]
163 "LAO" [1-*]
164 "LAT" [1-*]
165 "LBR" [1-*]
166 "LBY" [1-*]
167 "LEB" [1-*]
168 "LES" [1-*]
169 "LIB" [1-*]
170 "LIC" [1-*]
171 "LIT" [1-*]
172 "LTH" [1-*]
173 "LUX" [1-*]
174 "MAC" [1-*]
175 "MACALB" [1-*]
176 "MACGOV" [1-*]
177 "MAL" [1-*]
178 "MALGOV" [1-*]
179 "MAU" [1-*]
180 "MEX" [1-*]
181 "MLI" [1-*]
182 "MLT" [1-*]
183 "MNC" [1-*]
184 "MOC" [1-*]
185 "MON" [1-*]
186 "MOR" [1-*]
187 "MOS" [1-*]
188 "MOZ" [1-*]
189 "MTN" [1-*]
190 "MTNGOV" [1-*]
191 "MTNREL" [1-*]
192 "NAC" [1-*]
193 "NAT" [1-*]
194 "NATO" [1-*]
195 "NAU" [1-*]
196 "NEP" [1-*]
197 "NEW" [1-*]
198 "NGO" [1-*]
199 "NGOROM" [1-*]
200 "NIG" [1-*]
201 "NMB" [1-*]
202 "NOR" [1-*]
203 "NTH" [1-*]
204 "NTHMED" [1-*]
205 "OAS" [1-*]
206 "OBF" [1-*]
207 "OIC" [1-*]
208 "OMA" [1-*]
209 "OPC" [1-*]
210 "OSCE" [1-*]
211 "PAK" [1-*]
212 "PAKGOV" [1-*]
213 "PAKOPP" [1-*]
214 "PAL" [1-*]
215 "PALGZ" [1-*]
216 "PALHM" [1-*]
217 "PALPL" [1-*]
218 "PALPLO" [1-*]
219 "PALWB" [1-*]
220 "PAN" [1-*]
221 "PAP" [1-*]
222 "PAR" [1-*]
223 "PER" [1-*]
224 "PHI" [1-*]
225 "POL" [1-*]
226 "POR" [1-*]
227 "PRK" [1-*]
228 "QAT" [1-*]
229 "RCR" [1-*]
230 "REFSER" [1-*]
231 "RFE" [1-*]
232 "ROK" [1-*]
233 "ROM" [1-*]
234 "RUS" [1-*]
235 "RUSGOV" [1-*]
236 "RUSMED" [1-*]
237 "RUSMIL" [1-*]
238 "RWA" [1-*]
239 "SAF" [1-*]
240 "SAFOPP" [1-*]
241 "SANCNAT" [1-*]
242 "SAU" [1-*]
243 "SCN" [1-*]
244 "SEC" [1-*]
245 "SEN" [1-*]
246 "SER" [1-*]
247 "SERDOX" [1-*]
248 "SERGOV" [1-*]
249 "SERLAB" [1-*]
250 "SERMED" [1-*]
251 "SERMIL" [1-*]
252 "SERMOS" [1-*]
253 "SEROPP" [1-*]
254 "SERPOL" [1-*]
255 "SERSM" [1-*]
256 "SEY" [1-*]
257 "SIE" [1-*]
258 "SIN" [1-*]
259 "SLK" [1-*]
260 "SLO" [1-*]
261 "SLOGOV" [1-*]
262 "SOM" [1-*]
263 "SPN" [1-*]
264 "SRI" [1-*]
265 "SUD" [1-*]
266 "SWD" [1-*]
267 "SWDMIL" [1-*]
268 "SWI" [1-*]
269 "SYR" [1-*]
270 "TAI" [1-*]
271 "TAW" [1-*]
272 "TAZ" [1-*]
273 "TIC" [1-*]
274 "TKM" [1-*]
275 "TOG" [1-*]
276 "TUN" [1-*]
277 "TUR" [1-*]
278 "TURGOV" [1-*]
279 "TURKUR" [1-*]
280 "UAE" [1-*]
281 "UGA" [1-*]
282 "UKR" [1-*]
283 "UKRGOV" [1-*]
284 "UN" [1-*]
285 "UNHCR" [1-*]
286 "UNK" [1-*]
287 "UNKCIV" [1-*]
288 "UNKGOV" [1-*]
289 "UNKMED" [1-*]
290 "UNO" [1-*]
291 "UNOBAT" [1-*]
292 "UNOFAO" [1-*]
293 "UNOWC" [1-*]
294 "UNOWHO" [1-*]
295 "UNWCT" [1-*]
296 "URU" [1-*]
297 "US" [1-*]
298 "USA" [1-*]
299 "USAGOV" [1-*]
300 "USAMED" [1-*]
301 "USAMIL" [1-*]
302 "USAVOA" [1-*]
303 "USGOV" [1-*]
304 "USR" [1-*]
305 "VAN" [1-*]
306 "VAT" [1-*]
307 "VEN" [1-*]
308 "WAFR" [1-*]
309 "WBK" [1-*]
310 "WEST" [1-*]
311 "WEU" [1-*]
312 "WTO" [1-*]
313 "YAR" [1-*]
314 "YUG" [1-*]
315 "YUGCOM" [1-*]
316 "YUGCP" [1-*]
317 "YUGCRO" [1-*]
318 "YUGGOV" [1-*]
319 "YUGMAC" [1-*]
320 "YUGMED" [1-*]
321 "YUGMTN" [1-*]
322 "YUGSER" [1-*]
323 "ZAI" [1-*]
324 "ZAM" [1-*]
325 "ZIM" [1-*]
*arcs :0 "*** ABANDONED"
*arcs :10 "YIELD"
*arcs :11 "SURRENDER"
*arcs :12 "RETREAT"
*arcs :13 "RETRACT"
*arcs :14 "ACCOMODATE, CEASEFIRE"
*arcs :15 "CEDE POWER"
*arcs :20 "COMMENT"
*arcs :21 "DECLINE COMMENT"
*arcs :22 "PESSIMIST COMMENT"
*arcs :23 "NEUTRAL COMMENT"
*arcs :24 "OPTIMIST COMMENT"
*arcs :25 "EXPLAIN POSITION"
*arcs :26 "APPOINT OR ELECT"
*arcs :27 "ALTER RULES"
*arcs :30 "CONSULT"
*arcs :31 "MEET"
*arcs :32 "VISIT"
*arcs :33 "RECEIVE"
*arcs :34 "VOTE, ELECT"
*arcs :40 "APPROVE"
*arcs :41 "PRAISE"
*arcs :42 "ENDORSE"
*arcs :43 "RALLY"
*arcs :50 "PROMISE"
*arcs :51 "PROM POLICY SUPPORT"
*arcs :52 "PROM MATERIAL SUPPORT"
*arcs :53 "PROM OTHER SUPPORT"
*arcs :54 "ASSURE"
*arcs :55 "PROMISE RIGHTS"
*arcs :60 "GRANT"
*arcs :61 "APOLOGIZE"
*arcs :62 "STATE INVITATION"
*arcs :63 "GRANT ASYLUM"
*arcs :64 "GRANT PRIVILEGE"
*arcs :65 "TRUCE"
*arcs :66 "RELEASE"
*arcs :67 "GRANT POSITION"
*arcs :70 "REWARD"
*arcs :71 "EXTEND ECON AID"
*arcs :72 "EXTEND MIL AID"
*arcs :73 "GIVE OTHER ASSIST"
*arcs :80 "AGREE"
*arcs :81 "MAKE AGREEMENT"
*arcs :82 "AGREE FUTURE ACT"
*arcs :83 "ALLY"
*arcs :84 "MERGE, INTEGRATE"
*arcs :90 "REQUEST"
*arcs :91 "ASK INFORMATION"
*arcs :92 "ASK POLICY AID"
*arcs :93 "ASK MATERIAL AID"
*arcs :94 "CALL FOR"
*arcs :95 "PLEAD"
*arcs :96 "REQUEST POLICY CHANGE"
*arcs :100 "PROPOSE"
*arcs :101 "OFFER PROPOSAL"
*arcs :102 "URGE"
*arcs :110 "REJECT"
*arcs :111 "TURN DOWN"
*arcs :112 "REFUSE"
*arcs :113 "DEFY LAW"
*arcs :114 "*** CONSTITUTION"
*arcs :120 "ACCUSE"
*arcs :121 "CRITICIZE"
*arcs :122 "DENIGRATE"
*arcs :123 "INVESTIGATE"
*arcs :130 "PROTEST"
*arcs :131 "MAKE COMPLAINT"
*arcs :132 "FORMAL PROTEST"
*arcs :133 "SYMBOLIC ACT"
*arcs :140 "DENY"
*arcs :141 "DENY ACCUSATION"
*arcs :142 "DENY ACTION"
*arcs :143 "*** WILL NOT ATTEND SUMMIT"
*arcs :150 "DEMAND"
*arcs :151 "ISSUE COMMAND"
*arcs :152 "CLAIM RIGHTS"
*arcs :160 "WARN"
*arcs :161 "WARN POLICIES"
*arcs :162 "WARN OF PROBLEM"
*arcs :170 "THREATEN"
*arcs :171 "UNSPECIF THREAT"
*arcs :172 "NONMIL TRHEAT"
*arcs :173 "SPECIF THREAT"
*arcs :174 "ULTIMATUM"
*arcs :180 "DEMONSTRATE"
*arcs :181 "NONMIL DEMO"
*arcs :182 "MILITARY DEMO"
*arcs :190 "REDUCE RELATIONS"
*arcs :191 "CANCEL EVENT"
*arcs :192 "CUT ROUTINE ACT"
*arcs :193 "CUT AID"
*arcs :194 "HALT NEGOTIATION"
*arcs :195 "BREAK DIPL RELAT"
*arcs :196 "STRIKE"
*arcs :197 "CENSOR"
*arcs :198 "WITHDRAW FROM"
*arcs :199 "*** COMBAT, ACCEPT, CONTROL"
*arcs :200 "EXPEL"
*arcs :201 "EXPEL PERSONNEL"
*arcs :202 "EXPEL GROUP"
*arcs :203 "BAN ORGANIZATION"
*arcs :204 "*** SACK"
*arcs :210 "SEIZE"
*arcs :211 "SEIZE POSSESSION"
*arcs :212 "ARREST PERSON"
*arcs :213 "HIJACK KIDNAP"
*arcs :214 "*** SPY"
*arcs :215 "*** HAUL"
*arcs :220 "FORCE"
*arcs :221 "NONINJURY DESTR"
*arcs :222 "NONMIL DESTR"
*arcs :223 "MIL ENGAGEMENT"
*arcs :224 "RIOT"
*arcs :225 "ASSASSINATE TORTURE"
*arcs
224: 314 153 1 [4]
212: 314 83 1 [4]
224: 3 83 1 [4]
123: 83 153 1 [4]
32: 227 314 1 [4]
33: 314 227 1 [4]
65: 3 83 1 [4]
34: 314 27 1 [4]
32: 314 66 1 [4]
212: 314 83 1 [4]
121: 314 246 1 [4]
223: 246 317 1 [4]
223: 317 246 1 [4]
25: 314 153 1 [4]
223: 3 314 1 [4]
212: 314 27 1 [4]
34: 314 260 1 [4]
223: 314 286 1 [4]
223: 286 314 1 [4]
120: 314 3 1 [4]
130: 314 154 1 [4]
224: 314 153 1 [4]
22: 314 317 1 [5]
130: 314 319 1 [5]
120: 260 246 1 [5]
223: 83 314 1 [5]
82: 134 233 1 [5]
82: 134 314 1 [5]
213: 314 83 1 [5]
31: 314 78 1 [5]
223: 314 246 1 [5]
102: 3 314 1 [5]
212: 314 317 1 [5]
70: 314 23 1 [5]
211: 314 110 1 [5]
94: 314 316 1 [5]
23: 318 316 1 [5]
73: 319 83 1 [5]
141: 314 134 1 [5]
30: 314 83 1 [5]
191: 314 27 1 [5]
212: 314 83 1 [5]
22: 246 314 1 [5]
67: 314 246 1 [5]
23: 27 314 1 [5]
32: 109 3 1 [5]
33: 3 109 1 [5]
81: 161 314 1 [5]
181: 83 314 1 [5]
23: 83 314 1 [5]
212: 314 83 1 [5]
182: 314 153 1 [5]
150: 314 153 1 [5]
91: 314 83 1 [5]
223: 83 314 1 [5]
73: 314 90 1 [5]
211: 83 153 1 [6]
212: 314 83 1 [6]
121: 3 314 1 [6]
22: 314 153 1 [6]
23: 318 83 1 [6]
212: 314 251 1 [6]
32: 109 3 1 [6]
73: 109 3 1 [6]
173: 83 314 1 [6]
123: 314 153 1 [6]
102: 83 246 1 [6]
43: 322 153 1 [6]
212: 174 83 1 [6]
222: 83 246 1 [6]
122: 314 246 1 [6]
122: 314 317 1 [6]
131: 314 298 1 [7]
12: 314 153 1 [7]
121: 314 246 1 [7]
212: 314 83 1 [7]
121: 314 83 1 [7]
212: 153 83 1 [7]
23: 322 314 1 [7]
23: 317 314 1 [7]
200: 314 153 1 [7]
102: 139 314 1 [7]
41: 260 314 1 [7]
212: 314 322 1 [7]
212: 246 317 1 [7]
50: 318 83 1 [7]
191: 260 314 1 [7]
212: 314 83 1 [7]
81: 141 95 1 [7]
81: 95 141 1 [7]
131: 314 233 1 [8]
102: 129 192 1 [8]
224: 83 153 1 [8]
50: 141 314 1 [8]
25: 314 298 1 [8]
130: 314 298 1 [8]
132: 322 314 1 [8]
212: 314 83 1 [8]
25: 314 233 1 [8]
192: 246 260 1 [8]
64: 228 314 1 [8]
23: 3 290 1 [8]
31: 192 314 1 [8]
67: 192 217 1 [8]
32: 78 314 1 [8]
33: 314 78 1 [8]
31: 166 314 1 [9]
32: 134 135 1 [9]
32: 135 134 1 [9]
94: 134 290 1 [9]
94: 135 290 1 [9]
102: 62 192 1 [9]
102: 227 192 1 [9]
102: 166 192 1 [9]
23: 166 192 1 [9]
32: 314 192 1 [9]
33: 192 314 1 [9]
102: 192 130 1 [9]
31: 314 192 1 [9]
31: 192 314 1 [9]
94: 83 153 1 [9]
31: 45 314 1 [9]
121: 166 87 1 [9]
121: 166 297 1 [9]
31: 134 314 1 [9]
31: 314 134 1 [9]
32: 209 314 1 [9]
31: 2 239 1 [9]
31: 45 73 1 [9]
102: 290 10 1 [9]
31: 134 314 1 [9]
31: 135 314 1 [9]
202: 246 314 1 [9]
33: 166 314 1 [9]
32: 314 166 1 [9]
73: 63 277 1 [9]
224: 1 211 1 [9]
223: 127 211 1 [9]
223: 211 127 1 [9]
31: 307 209 1 [9]
70: 66 3 1 [9]
31: 314 192 1 [9]
111: 324 239 1 [9]
191: 66 3 1 [9]
191: 3 66 1 [9]
22: 92 314 1 [9]
32: 141 314 1 [9]
33: 314 141 1 [9]
132: 314 22 1 [9]
42: 260 314 1 [9]
121: 246 317 1 [9]
121: 246 317 1 [9]
23: 314 260 1 [9]
160: 314 317 1 [9]
198: 314 260 1 [9]
132: 260 314 1 [9]
102: 314 260 1 [9]
130: 314 260 1 [9]
198: 314 260 1 [10]
121: 314 153 1 [10]
41: 314 90 1 [10]
212: 314 83 1 [10]
42: 314 319 1 [10]
80: 119 22 1 [10]
80: 314 22 1 [10]
32: 314 304 1 [10]
33: 304 314 1 [10]
23: 314 153 1 [10]
224: 314 83 1 [10]
223: 314 83 1 [11]
32: 119 314 1 [11]
121: 314 3 1 [11]
23: 314 95 1 [11]
212: 83 153 1 [11]
121: 314 3 1 [11]
73: 119 87 1 [11]
73: 17 87 1 [11]
73: 314 87 1 [11]
73: 141 87 1 [11]
23: 248 246 1 [11]
34: 246 314 1 [11]
82: 119 17 1 [11]
82: 17 119 1 [11]
82: 119 314 1 [11]
82: 314 119 1 [11]
82: 119 141 1 [11]
82: 141 119 1 [11]
82: 17 314 1 [11]
82: 314 17 1 [11]
82: 17 141 1 [11]
82: 141 17 1 [11]
82: 314 141 1 [11]
82: 141 314 1 [11]
31: 314 233 1 [11]
102: 314 246 1 [11]
224: 83 153 1 [11]
64: 314 232 1 [11]
223: 3 87 1 [11]
95: 318 322 1 [11]
22: 314 246 1 [11]
22: 260 322 1 [11]
191: 246 260 1 [11]
95: 314 322 1 [11]
203: 260 246 1 [11]
67: 246 314 1 [11]
181: 246 314 1 [11]
191: 246 260 1 [11]
22: 3 90 1 [13]
212: 314 17 1 [13]
43: 3 90 1 [13]
210: 265 314 1 [13]
23: 310 3 1 [13]
25: 3 90 1 [13]
141: 3 314 1 [13]
130: 314 319 1 [13]
84: 66 89 1 [13]
84: 42 89 1 [13]
121: 3 314 1 [13]
181: 3 95 1 [13]
31: 119 17 1 [13]
31: 17 119 1 [13]
31: 119 141 1 [13]
31: 141 119 1 [13]
31: 119 314 1 [13]
31: 314 119 1 [13]
31: 17 141 1 [13]
31: 141 17 1 [13]
31: 17 314 1 [13]
31: 314 17 1 [13]
31: 141 314 1 [13]
31: 314 141 1 [13]
223: 119 3 1 [13]
25: 119 3 1 [13]
23: 119 3 1 [13]
32: 290 3 1 [13]
33: 3 290 1 [13]
150: 83 153 1 [13]
201: 3 90 1 [13]
120: 139 314 1 [13]
224: 314 83 1 [13]
23: 314 83 1 [13]
181: 83 314 1 [13]
120: 3 304 1 [13]
220: 314 83 1 [13]
22: 3 87 1 [13]
223: 83 314 1 [13]
121: 314 83 1 [13]
212: 153 314 1 [13]
141: 260 246 1 [13]
22: 260 87 1 [13]
22: 260 297 1 [13]
225: 83 314 1 [13]
94: 314 83 1 [13]
225: 314 83 1 [13]
181: 83 314 1 [13]
225: 83 314 1 [13]
225: 83 314 1 [13]
102: 314 83 1 [13]
94: 318 83 1 [13]
121: 314 83 1 [13]
150: 83 314 1 [13]
224: 83 314 1 [13]
94: 3 314 1 [13]
181: 246 314 1 [13]
94: 246 153 1 [13]
182: 322 153 1 [13]
182: 3 153 1 [13]
224: 322 314 1 [13]
224: 187 314 1 [13]
224: 3 314 1 [13]
102: 314 83 1 [13]
32: 92 3 1 [13]
33: 3 92 1 [13]
223: 314 83 1 [13]
181: 83 314 1 [13]
181: 246 314 1 [13]
181: 246 314 1 [13]
181: 246 314 1 [13]
94: 246 153 1 [13]
90: 3 314 1 [13]
223: 314 83 1 [14]
42: 314 322 1 [14]
42: 314 187 1 [14]
42: 314 3 1 [14]
182: 314 83 1 [14]
223: 251 153 1 [14]
198: 314 246 1 [14]
23: 153 314 1 [14]
223: 314 83 1 [14]
122: 3 314 1 [14]
224: 314 153 1 [14]
80: 314 153 1 [14]
32: 318 153 1 [14]
33: 153 318 1 [14]
121: 314 83 1 [14]
224: 314 153 1 [14]
191: 260 314 1 [14]
173: 246 153 1 [14]
191: 260 314 1 [14]
25: 314 153 1 [14]
181: 83 153 1 [14]
173: 246 153 1 [14]
25: 3 304 1 [14]
95: 318 260 1 [14]
224: 314 153 1 [14]
102: 246 322 1 [14]
121: 314 260 1 [14]
95: 260 314 1 [14]
120: 251 3 1 [14]
120: 3 314 1 [14]
111: 314 260 1 [14]
25: 3 76 1 [14]
181: 83 314 1 [14]
130: 83 3 1 [14]
201: 139 314 1 [14]
223: 314 83 1 [14]
224: 314 153 1 [14]
182: 314 153 1 [14]
31: 314 153 1 [14]
31: 153 314 1 [14]
197: 314 153 1 [14]
90: 314 105 1 [14]
197: 314 153 1 [14]
31: 119 225 1 [14]
31: 225 119 1 [14]
31: 119 314 1 [14]
31: 314 119 1 [14]
31: 225 314 1 [14]
31: 314 225 1 [14]
171: 251 35 1 [14]
22: 314 153 1 [14]
112: 314 83 1 [14]
32: 318 78 1 [14]
33: 78 318 1 [14]
130: 83 153 1 [14]
32: 260 78 1 [14]
22: 56 322 1 [14]
64: 314 139 1 [14]
102: 314 90 1 [14]
31: 322 83 1 [14]
31: 83 322 1 [14]
94: 314 22 1 [15]
25: 246 153 1 [15]
25: 83 153 1 [15]
80: 246 83 1 [15]
80: 83 246 1 [15]
64: 314 50 1 [15]
23: 260 87 1 [15]
23: 260 297 1 [15]
32: 322 317 1 [15]
32: 232 66 1 [15]
33: 66 232 1 [15]
32: 232 42 1 [15]
33: 42 232 1 [15]
112: 260 314 1 [15]
23: 3 141 1 [15]
34: 314 260 1 [15]
33: 3 22 1 [15]
32: 22 3 1 [15]
64: 314 153 1 [15]
23: 314 153 1 [15]
25: 314 3 1 [15]
100: 314 246 1 [15]
212: 314 83 1 [15]
82: 3 42 1 [15]
82: 42 3 1 [15]
64: 314 139 1 [15]
64: 139 314 1 [15]
64: 314 201 1 [15]
64: 201 314 1 [15]
170: 260 314 1 [15]
220: 322 321 1 [15]
220: 321 322 1 [15]
120: 198 314 1 [15]
32: 83 314 1 [15]
33: 314 83 1 [15]
191: 135 314 1 [15]
173: 314 153 1 [15]
121: 260 87 1 [15]
121: 260 297 1 [15]
120: 314 83 1 [15]
120: 318 83 1 [15]
182: 314 153 1 [15]
224: 314 83 1 [15]
31: 314 153 1 [15]
211: 314 153 1 [15]
32: 83 314 1 [15]
190: 314 246 1 [15]
94: 83 246 1 [15]
190: 246 153 1 [15]
23: 314 317 1 [15]
180: 83 314 1 [15]
25: 322 314 1 [15]
214: 139 217 1 [16]
64: 286 3 1 [16]
90: 90 290 1 [16]
130: 114 3 1 [16]
32: 314 135 1 [17]
33: 135 314 1 [17]
31: 314 139 1 [17]
41: 306 3 1 [17]
32: 314 135 1 [17]
31: 298 3 1 [17]
31: 3 298 1 [17]
31: 298 3 1 [17]
31: 3 298 1 [17]
41: 141 290 1 [17]
31: 87 310 1 [17]
31: 87 193 1 [17]
31: 310 87 1 [17]
31: 193 87 1 [17]
30: 114 3 1 [18]
32: 3 277 1 [18]
33: 277 3 1 [18]
12: 3 114 1 [18]
32: 3 277 1 [18]
196: 83 153 1 [19]
34: 260 314 1 [19]
81: 314 260 1 [19]
198: 83 246 1 [19]
191: 83 153 1 [19]
95: 141 3 1 [19]
102: 110 3 1 [19]
102: 3 277 1 [19]
222: 3 114 1 [19]
102: 286 3 1 [19]
222: 119 3 1 [19]
140: 42 3 1 [19]
22: 62 3 1 [19]
122: 62 3 1 [19]
94: 3 87 1 [19]
25: 3 87 1 [19]
173: 62 3 1 [19]
50: 3 87 1 [19]
223: 62 3 1 [19]
102: 141 290 1 [19]
112: 3 87 1 [19]
203: 314 153 1 [19]
203: 153 246 1 [19]
203: 314 83 1 [19]
203: 314 246 1 [19]
203: 314 153 1 [19]
94: 3 119 1 [19]
63: 3 51 1 [19]
102: 87 3 1 [19]
122: 3 87 1 [19]
23: 3 87 1 [19]
64: 3 141 1 [19]
102: 76 3 1 [19]
94: 76 3 1 [19]
94: 76 3 1 [19]
95: 110 3 1 [19]
160: 314 246 1 [19]
150: 314 260 1 [19]
190: 153 83 1 [19]
66: 3 277 1 [19]
50: 3 290 1 [19]
102: 3 78 1 [19]
94: 3 87 1 [19]
132: 260 314 1 [19]
23: 83 3 1 [19]
25: 95 3 1 [19]
95: 76 290 1 [19]
23: 141 3 1 [19]
23: 3 110 1 [19]
102: 153 83 1 [19]
160: 153 314 1 [19]
112: 246 153 1 [19]
94: 153 83 1 [19]
132: 260 314 1 [19]
66: 277 3 1 [19]
24: 290 3 1 [19]
94: 314 246 1 [19]
32: 66 3 1 [19]
132: 66 3 1 [19]
73: 3 22 1 [19]
70: 109 3 1 [19]
66: 119 3 1 [19]
32: 3 66 1 [19]
33: 66 3 1 [19]
24: 318 248 1 [19]
32: 3 66 1 [19]
31: 3 87 1 [19]
33: 87 3 1 [19]
63: 141 3 1 [19]
32: 3 105 1 [19]
33: 105 3 1 [19]
12: 3 141 1 [19]
122: 314 83 1 [19]
23: 298 3 1 [19]
90: 298 3 1 [19]
73: 298 3 1 [19]
93: 3 239 1 [19]
73: 119 3 1 [19]
132: 3 119 1 [19]
32: 3 119 1 [19]
33: 119 3 1 [19]
102: 3 277 1 [19]
100: 110 3 1 [19]
93: 3 141 1 [19]
122: 76 3 1 [19]
33: 95 114 1 [19]
32: 114 95 1 [19]
32: 141 3 1 [19]
33: 3 141 1 [19]
170: 314 246 1 [19]
223: 141 3 1 [19]
223: 95 3 1 [19]
223: 110 3 1 [19]
195: 110 3 1 [19]
33: 95 3 1 [19]
32: 3 95 1 [19]
102: 3 114 1 [19]
41: 3 109 1 [19]
63: 225 3 1 [19]
73: 314 3 1 [19]
102: 3 42 1 [19]
95: 3 119 1 [19]
94: 3 310 1 [19]
94: 3 193 1 [19]
212: 3 141 1 [19]
32: 3 310 1 [19]
32: 3 193 1 [19]
122: 314 246 1 [19]
63: 277 3 1 [19]
32: 3 95 1 [19]
34: 314 246 1 [19]
112: 246 83 1 [19]
80: 76 3 1 [19]
34: 246 314 1 [19]
120: 3 95 1 [19]
31: 3 95 1 [19]
31: 95 3 1 [19]
112: 78 3 1 [19]
95: 246 83 1 [19]
160: 248 260 1 [19]
22: 78 3 1 [19]
22: 95 3 1 [19]
81: 248 314 1 [19]
131: 314 266 1 [19]
223: 153 83 1 [19]
121: 314 83 1 [19]
22: 246 3 1 [19]
24: 3 304 1 [19]
64: 3 304 1 [19]
64: 304 3 1 [19]
24: 3 304 1 [19]
212: 260 314 1 [19]
31: 304 3 1 [19]
120: 314 42 1 [19]
64: 3 304 1 [19]
31: 192 314 1 [20]
31: 314 192 1 [20]
31: 298 3 1 [20]
31: 3 298 1 [20]
100: 314 317 1 [20]
122: 3 135 1 [20]
32: 314 277 1 [20]
82: 314 27 1 [20]
203: 314 3 1 [20]
