% Recoded by KEDSmonths, Sun Nov 28 12:48:43 2004
*vertices 174
126 "POL" [1-*]
127 "POR" [1-*]
128 "QAT" [1-*]
129 "RHO" [1-*]
130 "ROC" [1-*]
131 "ROM" [1-*]
132 "RUS" [1-*]
133 "RWA" [1-*]
134 "SAF" [1-*]
135 "SAU" [1-*]
136 "SEN" [1-*]
137 "SER" [1-*]
138 "SIE" [1-*]
139 "SIN" [1-*]
140 "SLA" [1-*]
141 "SOM" [1-*]
142 "SPN" [1-*]
143 "SUD" [1-*]
144 "SWA" [1-*]
145 "SWD" [1-*]
146 "SWZ" [1-*]
147 "SYR" [1-*]
148 "TAI" [1-*]
149 "TAZ" [1-*]
150 "TIB" [1-*]
151 "TOG" [1-*]
152 "TRK" [1-*]
153 "TUN" [1-*]
154 "TUR" [1-*]
155 "UAE" [1-*]
156 "UAR" [1-*]
157 "UGA" [1-*]
158 "UKR" [1-*]
159 "UN" [1-*]
160 "UNK" [1-*]
161 "UNO" [1-*]
162 "UPP" [1-*]
163 "URU" [1-*]
164 "USA" [1-*]
165 "USR" [1-*]
166 "VAT" [1-*]
167 "VEN" [1-*]
168 "VTN" [1-*]
169 "WES" [1-*]
170 "WEU" [1-*]
171 "WHO" [1-*]
172 "YEM" [1-*]
173 "ZAM" [1-*]
174 "ZAR" [1-*]
*arcs :11 "SURRENDER"
*arcs :12 "RETREAT"
*arcs :13 "RETRACT"
*arcs :21 "DECLINE COMM"
*arcs :22 "PESSIMIST CO"
*arcs :23 "NEUTRAL COMM"
*arcs :24 "OPTIMIST COM"
*arcs :25 "EXPLAIN POSI"
*arcs :31 "MEET"
*arcs :32 "VISIT"
*arcs :33 "RECEIVE"
*arcs :41 "PRAISE"
*arcs :42 "ENDORSE"
*arcs :51 "PROM POLICY"
*arcs :52 "PROM MATERIA"
*arcs :53 "PROM OTHER S"
*arcs :54 "ASSURE"
*arcs :61 "APOLOGIZE"
*arcs :62 "STATE INVITA"
*arcs :63 "GRANT ASYLUM"
*arcs :64 "GRANT PRIVIL"
*arcs :65 "TRUCE"
*arcs :66 "RELEASE"
*arcs :70 "REWARD"
*arcs :71 "EXTEND ECON"
*arcs :72 "EXTEND MIL A"
*arcs :73 "GIVE OTHER A"
*arcs :81 "MAKE AGREEME"
*arcs :82 "AGREE FUTURE"
*arcs :91 "ASK INFORMAT"
*arcs :92 "ASK POLICY A"
*arcs :93 "ASK MATERIAL"
*arcs :94 "CALL FOR"
*arcs :95 "PLEAD"
*arcs :101 "OFFER PROPOS"
*arcs :102 "URGE"
*arcs :111 "TURN DOWN"
*arcs :112 "REFUSE"
*arcs :121 "CRITICIZE"
*arcs :122 "DENIGRATE"
*arcs :131 "MAKE COMPLAI"
*arcs :132 "FORMAL PROTE"
*arcs :141 "DENY ACCUSAT"
*arcs :142 "DENY ACTION"
*arcs :150 "DEMAND"
*arcs :160 "WARN"
*arcs :161 "WARN POLICIE"
*arcs :171 "UNSPECIF THR"
*arcs :172 "NONMIL TRHEA"
*arcs :173 "SPECIF THREA"
*arcs :174 "ULTIMATUM"
*arcs :181 "NONMIL DEMO"
*arcs :182 "MILITARY DEM"
*arcs :191 "CANCEL EVENT"
*arcs :192 "CUT ROUTINE"
*arcs :193 "CUT AID"
*arcs :194 "HALT NEGOTIA"
*arcs :195 "BREAK DIPL R"
*arcs :201 "EXPEL PERSON"
*arcs :202 "EXPEL GROUP"
*arcs :211 "SEIZE POSSES"
*arcs :212 "ARREST PERSO"
*arcs :221 "NONINJURY DE"
*arcs :222 "NONMIL DESTR"
*arcs :223 "MIL ENGAGEME"
*arcs
193: 75 156 1 [4]
193: 156 5 1 [4]
81: 156 77 1 [4]
82: 74 118 1 [4]
111: 156 5 1 [4]
102: 156 5 1 [4]
223: 120 77 1 [4]
32: 161 168 1 [4]
32: 161 85 1 [4]
221: 120 12 1 [4]
221: 120 42 1 [4]
64: 160 157 1 [4]
66: 74 160 1 [4]
102: 10 82 1 [4]
102: 10 147 1 [4]
73: 5 156 1 [4]
73: 164 157 1 [4]
202: 5 156 1 [4]
121: 156 118 1 [4]
31: 87 118 1 [4]
32: 118 87 1 [4]
212: 120 77 1 [4]
73: 5 156 1 [4]
202: 5 77 1 [4]
141: 164 74 1 [4]
223: 149 157 1 [4]
223: 157 149 1 [4]
25: 149 157 1 [4]
25: 157 149 1 [4]
73: 156 77 1 [4]
94: 156 77 1 [4]
192: 5 156 1 [4]
73: 156 5 1 [4]
23: 164 74 1 [4]
33: 156 77 1 [4]
41: 164 105 1 [4]
181: 164 68 1 [4]
141: 135 164 1 [4]
102: 120 5 1 [4]
23: 156 5 1 [4]
31: 161 164 1 [4]
223: 77 120 1 [4]
81: 87 77 1 [4]
211: 149 157 1 [4]
122: 5 77 1 [4]
160: 74 164 1 [4]
160: 74 100 1 [4]
195: 135 156 1 [4]
111: 135 156 1 [4]
195: 156 135 1 [4]
195: 156 87 1 [4]
111: 100 74 1 [4]
172: 143 75 1 [4]
66: 164 74 1 [4]
191: 5 156 1 [4]
121: 74 86 1 [4]
25: 164 132 1 [4]
195: 75 143 1 [4]
142: 9 74 1 [4]
81: 5 77 1 [4]
23: 156 5 1 [4]
111: 87 156 1 [4]
111: 135 156 1 [4]
195: 98 156 1 [4]
32: 90 74 1 [4]
223: 149 157 1 [4]
41: 164 120 1 [4]
82: 156 77 1 [4]
82: 77 156 1 [4]
112: 74 91 1 [4]
195: 5 156 1 [4]
102: 164 5 1 [4]
160: 164 129 1 [4]
31: 77 156 1 [4]
32: 156 77 1 [4]
81: 10 135 1 [4]
81: 10 87 1 [4]
81: 10 128 1 [4]
81: 10 155 1 [4]
81: 10 77 1 [4]
32: 50 165 1 [4]
31: 165 50 1 [4]
122: 74 156 1 [4]
122: 90 156 1 [4]
53: 74 90 1 [4]
53: 90 74 1 [4]
191: 5 156 1 [4]
223: 74 86 1 [4]
195: 5 156 1 [4]
191: 74 55 1 [4]
22: 1 74 1 [4]
132: 1 74 1 [4]
32: 77 156 1 [4]
195: 172 156 1 [4]
121: 156 5 1 [4]
102: 161 129 1 [4]
23: 161 160 1 [4]
195: 74 156 1 [4]
191: 74 156 1 [4]
191: 74 156 1 [4]
101: 74 164 1 [4]
195: 156 74 1 [4]
41: 74 109 1 [4]
212: 55 5 1 [4]
94: 74 109 1 [4]
54: 156 77 1 [5]
121: 74 156 1 [5]
192: 110 74 1 [5]
23: 156 5 1 [5]
121: 156 135 1 [5]
122: 156 135 1 [5]
173: 156 38 1 [5]
122: 55 74 1 [5]
72: 156 5 1 [5]
172: 5 77 1 [5]
23: 135 5 1 [5]
73: 164 132 1 [5]
102: 74 164 1 [5]
94: 74 156 1 [5]
82: 100 22 1 [5]
31: 77 91 1 [5]
94: 77 147 1 [5]
94: 105 120 1 [5]
23: 164 135 1 [5]
82: 57 166 1 [5]
222: 57 77 1 [5]
81: 75 50 1 [5]
31: 164 160 1 [5]
31: 164 156 1 [5]
31: 164 77 1 [5]
32: 164 154 1 [5]
122: 156 5 1 [5]
62: 91 77 1 [5]
53: 154 164 1 [5]
121: 156 105 1 [5]
102: 77 164 1 [5]
32: 77 50 1 [5]
81: 105 77 1 [5]
121: 135 118 1 [5]
12: 164 171 1 [5]
160: 86 74 1 [5]
31: 42 142 1 [5]
31: 42 127 1 [5]
31: 42 57 1 [5]
31: 142 42 1 [5]
31: 127 42 1 [5]
31: 57 42 1 [5]
102: 156 77 1 [5]
102: 156 164 1 [5]
202: 74 147 1 [5]
31: 42 50 1 [5]
142: 87 156 1 [5]
31: 160 42 1 [5]
23: 156 135 1 [5]
201: 156 74 1 [5]
81: 147 75 1 [5]
81: 75 147 1 [5]
101: 147 75 1 [5]
101: 75 147 1 [5]
71: 156 164 1 [5]
95: 156 164 1 [5]
223: 120 156 1 [5]
202: 5 156 1 [5]
23: 120 164 1 [5]
73: 74 81 1 [5]
211: 164 154 1 [5]
23: 164 74 1 [5]
73: 135 118 1 [5]
171: 74 169 1 [5]
171: 74 107 1 [5]
23: 5 74 1 [5]
25: 107 164 1 [5]
31: 71 154 1 [5]
32: 154 71 1 [5]
202: 156 5 1 [5]
23: 74 164 1 [5]
102: 149 90 1 [5]
102: 157 90 1 [5]
73: 155 5 1 [5]
191: 82 156 1 [5]
91: 74 81 1 [5]
31: 156 77 1 [5]
23: 74 86 1 [5]
191: 10 11 1 [5]
31: 164 135 1 [5]
31: 135 164 1 [5]
66: 74 160 1 [5]
111: 74 164 1 [5]
32: 164 156 1 [5]
31: 156 164 1 [5]
131: 164 74 1 [5]
81: 74 164 1 [5]
63: 30 74 1 [5]
23: 143 157 1 [5]
31: 135 164 1 [5]
122: 164 74 1 [5]
223: 74 1 1 [5]
132: 50 77 1 [5]
94: 75 156 1 [5]
95: 156 5 1 [5]
31: 164 156 1 [5]
31: 164 77 1 [5]
23: 74 77 1 [5]
121: 74 164 1 [5]
94: 156 75 1 [5]
191: 50 74 1 [5]
191: 171 5 1 [5]
211: 135 160 1 [5]
31: 161 74 1 [5]
32: 74 161 1 [5]
122: 164 74 1 [5]
121: 74 164 1 [5]
101: 74 164 1 [5]
223: 5 157 1 [5]
23: 87 118 1 [5]
23: 164 156 1 [5]
23: 164 77 1 [5]
53: 156 164 1 [5]
31: 130 172 1 [5]
181: 74 164 1 [5]
32: 26 50 1 [5]
23: 135 164 1 [5]
23: 74 120 1 [5]
54: 3 90 1 [5]
73: 164 77 1 [5]
32: 74 11 1 [5]
42: 164 74 1 [5]
102: 74 5 1 [5]
81: 135 5 1 [5]
223: 74 5 1 [5]
132: 164 34 1 [6]
32: 164 50 1 [6]
121: 74 5 1 [6]
160: 135 169 1 [6]
160: 135 107 1 [6]
111: 74 100 1 [6]
94: 143 5 1 [6]
111: 77 161 1 [6]
102: 164 160 1 [6]
64: 164 129 1 [6]
181: 74 105 1 [6]
102: 74 100 1 [6]
111: 74 164 1 [6]
141: 75 74 1 [6]
81: 164 22 1 [6]
81: 22 164 1 [6]
82: 156 26 1 [6]
182: 75 74 1 [6]
122: 75 86 1 [6]
121: 172 75 1 [6]
132: 74 75 1 [6]
81: 74 5 1 [6]
73: 164 156 1 [6]
25: 1 74 1 [6]
102: 74 118 1 [6]
53: 22 77 1 [6]
171: 5 22 1 [6]
102: 75 156 1 [6]
102: 147 156 1 [6]
202: 75 156 1 [6]
202: 147 156 1 [6]
122: 55 164 1 [6]
31: 5 164 1 [6]
32: 164 5 1 [6]
142: 5 164 1 [6]
71: 164 74 1 [6]
32: 74 11 1 [6]
181: 75 74 1 [6]
32: 103 160 1 [6]
25: 50 135 1 [6]
173: 50 77 1 [6]
223: 75 74 1 [6]
31: 74 100 1 [6]
81: 165 164 1 [6]
32: 74 100 1 [6]
94: 125 74 1 [6]
73: 164 74 1 [6]
223: 74 75 1 [6]
12: 75 172 1 [6]
94: 74 1 1 [6]
112: 164 75 1 [6]
81: 154 71 1 [6]
81: 71 154 1 [6]
173: 172 164 1 [6]
160: 75 74 1 [6]
31: 120 90 1 [6]
122: 90 91 1 [6]
122: 120 91 1 [6]
31: 135 118 1 [6]
73: 90 120 1 [6]
223: 75 74 1 [6]
23: 165 164 1 [6]
222: 100 74 1 [6]
31: 147 75 1 [6]
25: 91 75 1 [6]
32: 147 75 1 [6]
31: 75 147 1 [6]
222: 100 74 1 [6]
32: 147 75 1 [6]
23: 74 75 1 [6]
31: 42 50 1 [6]
131: 132 74 1 [6]
23: 75 10 1 [6]
31: 147 75 1 [6]
31: 75 147 1 [6]
23: 160 75 1 [6]
73: 135 118 1 [6]
31: 42 50 1 [6]
32: 50 42 1 [6]
73: 135 156 1 [6]
82: 147 75 1 [6]
82: 75 147 1 [6]
101: 147 5 1 [6]
101: 75 5 1 [6]
23: 78 164 1 [6]
192: 5 22 1 [6]
82: 75 147 1 [6]
82: 147 75 1 [6]
142: 74 160 1 [6]
12: 156 5 1 [6]
101: 50 42 1 [6]
23: 135 118 1 [6]
150: 74 164 1 [6]
73: 74 1 1 [6]
23: 74 75 1 [6]
32: 147 75 1 [6]
32: 164 156 1 [6]
32: 164 5 1 [6]
202: 1 160 1 [6]
31: 5 156 1 [6]
91: 156 74 1 [6]
63: 74 156 1 [6]
32: 90 147 1 [6]
32: 164 77 1 [6]
222: 74 77 1 [6]
94: 87 5 1 [6]
212: 74 75 1 [6]
95: 164 81 1 [6]
95: 81 164 1 [6]
192: 164 42 1 [6]
192: 81 42 1 [6]
223: 132 1 1 [6]
23: 74 55 1 [6]
172: 5 22 1 [6]
82: 164 77 1 [6]
121: 86 74 1 [6]
82: 90 118 1 [6]
81: 74 135 1 [6]
223: 74 100 1 [6]
32: 90 75 1 [6]
25: 164 81 1 [6]
73: 135 118 1 [6]
23: 75 87 1 [6]
73: 164 77 1 [6]
221: 5 91 1 [6]
212: 74 75 1 [6]
132: 172 160 1 [6]
31: 42 160 1 [6]
82: 118 135 1 [6]
111: 135 50 1 [6]
31: 135 160 1 [6]
31: 160 135 1 [6]
31: 135 42 1 [6]
32: 42 135 1 [6]
222: 74 5 1 [6]
32: 90 5 1 [6]
31: 5 90 1 [6]
142: 135 164 1 [6]
221: 135 156 1 [6]
23: 135 120 1 [7]
121: 75 74 1 [7]
102: 74 118 1 [7]
102: 87 118 1 [7]
102: 128 118 1 [7]
12: 156 164 1 [7]
23: 164 156 1 [7]
23: 164 77 1 [7]
73: 128 118 1 [7]
112: 74 164 1 [7]
82: 75 77 1 [7]
181: 75 5 1 [7]
25: 164 115 1 [7]
53: 164 100 1 [7]
111: 156 135 1 [7]
111: 156 128 1 [7]
111: 156 155 1 [7]
24: 156 71 1 [7]
31: 164 82 1 [7]
102: 74 161 1 [7]
101: 135 169 1 [7]
101: 135 107 1 [7]
91: 156 71 1 [7]
32: 164 77 1 [7]
31: 77 164 1 [7]
94: 75 164 1 [7]
94: 75 164 1 [7]
23: 75 160 1 [7]
65: 75 160 1 [7]
132: 74 75 1 [7]
212: 91 75 1 [7]
191: 164 156 1 [7]
62: 5 156 1 [7]
102: 115 164 1 [7]
192: 103 81 1 [7]
212: 91 75 1 [7]
32: 164 156 1 [7]
31: 156 164 1 [7]
31: 164 82 1 [7]
31: 164 135 1 [7]
25: 164 68 1 [7]
82: 164 135 1 [7]
32: 164 153 1 [7]
112: 164 153 1 [7]
223: 74 5 1 [7]
31: 74 165 1 [7]
121: 75 77 1 [7]
94: 75 161 1 [7]
122: 74 156 1 [7]
121: 74 156 1 [7]
64: 74 111 1 [7]
32: 26 132 1 [7]
102: 164 81 1 [7]
81: 135 50 1 [7]
64: 74 90 1 [7]
64: 90 74 1 [7]
41: 87 164 1 [7]
181: 75 105 1 [7]
111: 164 161 1 [7]
191: 164 5 1 [7]
192: 169 74 1 [7]
192: 107 74 1 [7]
191: 75 22 1 [7]
61: 164 74 1 [7]
212: 55 74 1 [7]
202: 74 164 1 [7]
142: 120 164 1 [7]
23: 74 164 1 [7]
23: 164 103 1 [7]
23: 74 164 1 [7]
173: 55 74 1 [7]
73: 164 82 1 [7]
31: 154 74 1 [7]
61: 26 74 1 [7]
23: 74 75 1 [7]
122: 74 55 1 [7]
22: 74 86 1 [7]
31: 5 75 1 [7]
191: 161 120 1 [7]
81: 74 164 1 [7]
23: 146 74 1 [7]
142: 74 75 1 [7]
160: 74 164 1 [7]
42: 74 164 1 [7]
71: 164 135 1 [7]
160: 74 105 1 [7]
12: 75 86 1 [7]
66: 86 74 1 [7]
54: 161 120 1 [8]
142: 74 105 1 [8]
122: 110 75 1 [8]
23: 110 75 1 [8]
121: 9 74 1 [8]
23: 164 1 1 [8]
32: 164 74 1 [8]
171: 135 164 1 [8]
94: 160 135 1 [8]
160: 164 74 1 [8]
23: 74 164 1 [8]
111: 81 135 1 [8]
32: 55 107 1 [8]
82: 164 77 1 [8]
82: 164 5 1 [8]
102: 118 164 1 [8]
121: 77 5 1 [8]
31: 116 42 1 [8]
31: 120 120 1 [8]
23: 168 164 1 [8]
31: 74 12 1 [8]
31: 74 42 1 [8]
81: 164 161 1 [8]
31: 74 164 1 [8]
25: 77 164 1 [8]
121: 74 86 1 [8]
223: 120 164 1 [8]
71: 75 46 1 [8]
221: 77 91 1 [8]
223: 120 77 1 [8]
121: 50 74 1 [8]
223: 74 164 1 [8]
31: 164 156 1 [8]
182: 74 86 1 [8]
181: 77 164 1 [8]
111: 77 164 1 [8]
111: 164 120 1 [8]
171: 74 86 1 [8]
102: 87 5 1 [8]
111: 87 161 1 [8]
23: 55 74 1 [8]
32: 154 86 1 [8]
33: 75 164 1 [8]
201: 74 160 1 [8]
171: 74 86 1 [8]
191: 161 164 1 [8]
95: 164 74 1 [8]
142: 172 87 1 [8]
223: 86 74 1 [8]
132: 160 74 1 [8]
121: 74 1 1 [8]
223: 86 74 1 [8]
32: 164 74 1 [8]
23: 164 74 1 [8]
142: 164 74 1 [8]
211: 146 74 1 [8]
62: 74 164 1 [8]
121: 161 164 1 [8]
121: 161 77 1 [8]
223: 164 86 1 [8]
23: 161 120 1 [8]
31: 161 120 1 [8]
31: 120 161 1 [8]
31: 74 75 1 [8]
102: 9 120 1 [8]
121: 147 164 1 [8]
23: 147 164 1 [8]
222: 86 74 1 [8]
32: 55 147 1 [8]
32: 55 82 1 [8]
32: 55 91 1 [8]
32: 55 156 1 [8]
81: 74 86 1 [8]
223: 77 91 1 [8]
95: 74 86 1 [8]
121: 147 75 1 [8]
111: 74 86 1 [8]
32: 154 86 1 [8]
142: 10 74 1 [8]
111: 86 74 1 [8]
142: 154 86 1 [8]
132: 86 74 1 [8]
81: 10 128 1 [8]
81: 10 155 1 [8]
81: 128 10 1 [8]
81: 128 155 1 [8]
81: 155 10 1 [8]
81: 155 128 1 [8]
32: 135 100 1 [8]
31: 100 135 1 [8]
102: 74 86 1 [8]
25: 74 86 1 [8]
32: 55 82 1 [8]
94: 145 74 1 [8]
32: 164 12 1 [8]
32: 164 42 1 [8]
112: 164 5 1 [8]
22: 35 74 1 [8]
25: 74 86 1 [8]
121: 74 86 1 [8]
25: 74 86 1 [9]
223: 86 74 1 [9]
32: 102 87 1 [9]
23: 74 10 1 [9]
25: 74 86 1 [9]
94: 74 75 1 [9]
122: 155 160 1 [9]
94: 90 5 1 [9]
121: 74 86 1 [9]
31: 74 160 1 [9]
121: 74 86 1 [9]
23: 74 86 1 [9]
94: 120 156 1 [9]
131: 164 74 1 [9]
172: 128 77 1 [9]
81: 116 135 1 [9]
202: 74 164 1 [9]
201: 74 164 1 [9]
72: 33 4 1 [9]
73: 74 164 1 [9]
160: 74 164 1 [9]
192: 161 164 1 [9]
201: 74 160 1 [9]
12: 164 33 1 [9]
181: 75 5 1 [9]
102: 68 119 1 [9]
102: 119 68 1 [9]
41: 68 119 1 [9]
41: 119 68 1 [9]
223: 86 74 1 [9]
12: 164 74 1 [9]
223: 86 77 1 [9]
211: 86 78 1 [9]
25: 74 164 1 [9]
25: 74 33 1 [9]
121: 172 103 1 [9]
202: 5 156 1 [9]
181: 86 55 1 [9]
32: 164 156 1 [9]
32: 164 77 1 [9]
11: 91 74 1 [9]
32: 102 172 1 [9]
32: 83 135 1 [9]
31: 135 83 1 [9]
31: 155 118 1 [9]
11: 91 74 1 [9]
73: 156 164 1 [9]
31: 120 74 1 [9]
82: 87 102 1 [9]
31: 83 135 1 [9]
32: 83 135 1 [9]
31: 135 83 1 [9]
132: 83 141 1 [9]
32: 164 156 1 [9]
32: 164 77 1 [9]
31: 156 164 1 [9]
31: 77 164 1 [9]
33: 1 165 1 [9]
31: 156 77 1 [9]
102: 74 81 1 [9]
32: 164 156 1 [9]
31: 164 77 1 [9]
31: 77 164 1 [9]
82: 81 74 1 [9]
223: 86 74 1 [9]
221: 10 74 1 [9]
31: 164 103 1 [9]
32: 103 164 1 [9]
221: 75 74 1 [9]
31: 164 77 1 [9]
31: 77 164 1 [9]
71: 172 164 1 [9]
64: 132 26 1 [9]
31: 120 161 1 [9]
131: 74 87 1 [9]
81: 1 119 1 [9]
81: 1 74 1 [9]
73: 37 5 1 [9]
32: 22 154 1 [9]
31: 154 22 1 [9]
94: 154 164 1 [9]
121: 75 103 1 [9]
42: 5 74 1 [9]
223: 26 21 1 [9]
223: 168 161 1 [9]
191: 156 164 1 [9]
31: 5 135 1 [9]
32: 75 87 1 [9]
32: 75 10 1 [9]
150: 105 74 1 [9]
142: 10 74 1 [9]
66: 155 74 1 [9]
31: 22 135 1 [9]
31: 135 22 1 [9]
121: 156 135 1 [9]
121: 156 75 1 [9]
94: 1 119 1 [9]
94: 1 74 1 [9]
141: 1 26 1 [9]
192: 22 135 1 [9]
221: 74 105 1 [9]
223: 74 105 1 [9]
201: 160 74 1 [9]
32: 74 105 1 [9]
191: 74 86 1 [9]
94: 164 77 1 [9]
41: 164 135 1 [9]
32: 22 75 1 [9]
192: 164 135 1 [9]
121: 77 120 1 [9]
102: 5 161 1 [9]
53: 156 74 1 [9]
201: 74 87 1 [9]
223: 74 105 1 [9]
54: 164 120 1 [9]
111: 78 160 1 [9]
53: 156 10 1 [9]
112: 5 118 1 [9]
32: 22 5 1 [9]
32: 22 77 1 [9]
111: 90 156 1 [10]
111: 90 77 1 [10]
111: 135 156 1 [10]
111: 135 77 1 [10]
73: 90 120 1 [10]
73: 135 120 1 [10]
191: 172 160 1 [10]
23: 74 10 1 [10]
112: 74 120 1 [10]
112: 74 91 1 [10]
112: 74 1 1 [10]
112: 74 44 1 [10]
112: 74 125 1 [10]
112: 74 75 1 [10]
73: 135 5 1 [10]
32: 110 74 1 [10]
101: 164 160 1 [10]
221: 74 105 1 [10]
31: 164 137 1 [10]
31: 164 74 1 [10]
94: 74 161 1 [10]
94: 118 161 1 [10]
81: 81 74 1 [10]
222: 8 164 1 [10]
23: 74 81 1 [10]
23: 172 103 1 [10]
91: 74 135 1 [10]
150: 68 74 1 [10]
31: 164 154 1 [10]
223: 86 74 1 [10]
23: 120 77 1 [10]
23: 164 33 1 [10]
23: 74 86 1 [10]
73: 74 86 1 [10]
142: 135 156 1 [10]
223: 86 74 1 [10]
32: 74 10 1 [10]
31: 74 132 1 [10]
31: 10 147 1 [10]
31: 10 74 1 [10]
31: 147 10 1 [10]
31: 147 74 1 [10]
31: 74 10 1 [10]
31: 74 147 1 [10]
32: 120 74 1 [10]
31: 74 120 1 [10]
31: 5 156 1 [10]
71: 81 74 1 [10]
12: 55 164 1 [10]
160: 55 160 1 [10]
94: 132 42 1 [10]
73: 135 161 1 [10]
25: 81 74 1 [10]
25: 81 90 1 [10]
202: 74 125 1 [10]
212: 74 75 1 [10]
222: 74 1 1 [10]
23: 164 74 1 [10]
23: 164 90 1 [10]
73: 74 118 1 [10]
73: 90 118 1 [10]
33: 147 132 1 [10]
66: 86 74 1 [10]
31: 164 91 1 [10]
111: 164 119 1 [10]
25: 164 81 1 [10]
121: 164 90 1 [10]
12: 74 50 1 [10]
102: 135 164 1 [10]
93: 75 118 1 [10]
31: 135 74 1 [10]
223: 86 74 1 [10]
121: 74 86 1 [10]
31: 26 135 1 [10]
222: 86 74 1 [10]
31: 74 86 1 [10]
73: 168 50 1 [10]
73: 168 12 1 [10]
31: 164 91 1 [10]
72: 164 105 1 [10]
72: 74 164 1 [10]
32: 74 164 1 [10]
223: 173 134 1 [10]
223: 173 129 1 [10]
32: 165 5 1 [10]
223: 74 164 1 [10]
132: 55 74 1 [10]
111: 74 164 1 [10]
32: 156 74 1 [10]
171: 74 164 1 [10]
95: 77 164 1 [10]
12: 77 5 1 [10]
31: 87 91 1 [10]
32: 91 87 1 [10]
32: 26 91 1 [10]
32: 26 120 1 [10]
132: 120 55 1 [10]
121: 74 160 1 [10]
71: 168 75 1 [10]
32: 74 3 1 [10]
73: 164 74 1 [11]
31: 74 164 1 [11]
31: 164 74 1 [11]
72: 26 164 1 [11]
65: 75 74 1 [11]
171: 75 74 1 [11]
122: 161 134 1 [11]
32: 164 3 1 [11]
192: 86 74 1 [11]
131: 164 74 1 [11]
54: 164 74 1 [11]
23: 74 164 1 [11]
32: 74 164 1 [11]
24: 120 127 1 [11]
81: 9 126 1 [11]
211: 74 160 1 [11]
91: 74 160 1 [11]
191: 74 164 1 [11]
23: 74 164 1 [11]
32: 74 164 1 [11]
122: 75 74 1 [11]
181: 74 105 1 [11]
73: 160 74 1 [11]
102: 22 74 1 [11]
112: 164 74 1 [11]
132: 75 74 1 [11]
112: 173 129 1 [11]
23: 160 74 1 [11]
212: 74 164 1 [11]
160: 74 87 1 [11]
121: 118 160 1 [11]
122: 164 74 1 [11]
